member_casual,start_hour,rides
casual,0,37865
casual,1,24580
casual,2,15879
casual,3,8835
casual,4,7041
casual,5,12213
casual,6,28706
casual,7,53001
casual,8,75803
casual,9,74597
casual,10,89744
casual,11,114383
casual,12,133104
casual,13,137587
casual,14,144676
casual,15,161603
casual,16,183217
casual,17,196496
casual,18,168667
casual,19,125267
casual,20,91161
casual,21,77887
casual,22,67046
casual,23,48120
member,0,32244
member,1,20146
member,2,11919
member,3,8095
member,4,8894
member,5,33778
member,6,101257
member,7,199891
member,8,257580
member,9,170871
member,10,146472
member,11,171804
member,12,192798
member,13,188151
member,14,190696
member,15,238579
member,16,333735
member,17,379485
member,18,294415
member,19,204279
member,20,141932
member,21,110501
member,22,80291
member,23,50704
